characters,pronunciation,translation,frequency,old_version,frequency_rank
别的,biéde,другое,3,別的,1
的确,díquè,действительно,2,的確,1
一样,yīyàng,одинаковый,6,一樣,2
一定,yīdìng,обязательно,5,一定,2
一起,yīqǐ,вместе,4,一起,2
一天,yītiān,один день,4,一天,2
一级,yījí,первого класса,1,一級,2
不管,bùguǎn,независимо от,4,不管,4
不行,bùxíng,нельзя,4,不行,4
不过,búguò,однако,4,不過,4
不错,búcuò,неплохо,3,不錯,4
不利,búlì,неблагоприятный,1,不利,4
不断,búduàn,непрерывно,1,不斷,4
不愧,búkuì,достоин / как и ожидалось,1,不愧,4
糟了,zāole,плохо дело,1,糟了,5
现在,xiànzài,сейчас,20,現在,6
存在,cúnzài,существование,4,存在,6
正在,zhèngzài,в процессе,2,正在,6
人类,rénlèi,человечество / люди,51,人類,7
敌人,dírén,враг,3,敵人,7
人员,rényuán,персонал,1,人員,7
好人,hǎorén,хороший человек,1,好人,7
坏人,huàirén,плохой человек,1,壞人,7
亲人,qīnrén,родной человек,1,親人,7
所有,suǒyǒu,все,8,所有,8
有点,yǒudiǎn,немного,3,有點,8
有劳,yǒuláo,спасибо за труд,1,有勞,8
有利,yǒulì,выгодный,1,有利,8
有名,yǒumíng,известный,1,有名,8
这样,zhèyàng,так / таким образом,8,這樣,11
这次,zhècì,в этот раз,9,這次,11
这边,zhèbiān,сюда / эта сторона,8,這邊,11
整个,zhěnggè,весь / целый,1,整個,12
集中,jízhōng,сосредоточить,1,集中,14
中间,zhōngjiān,середина,1,中間,14
回来,huílái,вернуться,4,回來,15
出来,chūlái,выйти,4,出來,15
过来,guòlái,подойти,3,過來,15
本来,běnlái,изначально,3,本來,15
看来,kànlái,похоже,2,看來,15
未来,wèilái,будущее,2,未來,15
原来,yuánlái,оказывается,1,原來,15
进来,jìnlái,входить,1,進來,15
后来,hòulái,потом / впоследствии,1,後來,15
跟上,gēnshàng,угнаться,2,跟上,16
上报,shàngbào,доложить наверх,2,上報,16
上古,shànggǔ,глубокая древность,1,上古,16
楼上,lóushàng,наверху,1,樓上,16
强大,qiángdà,могучий,2,強大,17
大批,dàpī,большая партия,1,大批,17
大陆,dàlù,материк,1,大陸,17
列为,lièwéi,отнести к,1,列為,18
为何,wèihé,почему,1,為何,18
暖和,nuǎnhuo,тёплый,1,暖和,19
国家,guójiā,страна / государство,4,國家,20
国境,guójìng,граница,1,國境,20
国际,guójì,международный,1,國際,20
地方,dìfang,место,9,地方,21
基地,jīdì,база,6,基地,21
余地,yúdì,пространство для манёвра,2,餘地,21
特地,tèdì,специально,1,特地,21
地震,dìzhèn,землетрясение,1,地震,21
找到,zhǎodào,найти,7,找到,22
抓到,zhuādào,поймать,5,抓到,22
到底,dàodǐ,в конце концов,4,到底,22
